iter	Passed	Remaining
272	661	1762
273	663	1758
274	665	1754
275	666	1749
276	668	1745
277	670	1740
278	671	1736
279	676	1740
280	678	1736
281	680	1732
282	681	1727
283	683	1723
284	685	1719
285	686	1715
286	690	1716
287	692	1712
288	694	1708
289	696	1704
290	697	1699
291	699	1695
292	701	1691
293	702	1687
294	706	1689
295	708	1685
296	710	1682
297	712	1678
298	714	1674
299	716	1670
300	718	1667
301	722	1669
302	723	1665
303	725	1661
304	727	1657
305	728	1653
306	730	1649
307	732	1645
308	736	1646
309	738	1642
310	739	1638
311	741	1634
312	742	1630
313	744	1626
314	746	1622
315	748	1619
316	751	1618
317	754	1618
318	756	1615
319	758	1611
320	760	1607
321	761	1604
322	763	1600
323	767	1601
324	769	1597
325	771	1594
326	772	1590
327	774	1586
328	776	1582
329	777	1579
330	781	1579
331	783	1576
332	785	1572
333	786	1568
334	788	1565
335	790	1561
336	791	1558
337	793	1554
338	797	1555
339	799	1552
340	801	1549
341	804	1548
342	806	1545
343	809	1543
344	813	1544
345	815	1541
346	817	1537
347	818	1533
348	820	1530
349	821	1526
350	823	1522
351	827	1523
352	829	1519
353	830	1516
354	832	1512
355	834	1508
356	835	1505
357	837	1501
358	839	1498
359	842	1497
360	843	1493
361	845	1490
362	847	1487
363	849	1484
364	852	1482
365	856	1484
366	858	1481
367	860	1478
368	862	1475
369	864	1471
370	866	1468
371	867	1464
372	871	1465
373	873	1461
374	875	1458
375	876	1455
376	878	1451
377	880	1448
378	881	1444
379	883	1441
380	887	1441
381	889	1438
382	891	1435
383	893	1432
384	894	1429
385	896	1426
386	898	1423
387	902	1423
388	904	1420
389	906	1417
390	907	1413
391	909	1410
392	911	1407
393	912	1403
394	916	1403
395	917	1399
396	919	1396
397	921	1393
398	923	1390
399	925	1387
400	926	1384
401	928	1381
402	932	1381
403	934	1378
404	936	1375
405	937	1371
406	939	1368
407	941	1365
408	942	1362
409	946	1362
410	948	1359
411	950	1356
412	951	1352
413	953	1349
414	955	1347
415	957	1344
416	959	1340
417	961	1339
418	963	1336
419	966	1334
420	969	1332
421	971	1330
422	976	1331
423	978	1328
424	980	1326
425	982	1323
426	985	1321
427	992	1326
428	995	1325
429	998	1323
430	1002	1323
431	1011	1329
432	1016	1330
433	1018	1328
434	1022	1328
435	1024	1325
436	1026	1322
437	1029	1320
438	1031	1318
439	1033	1315
440	1038	1315
441	1040	1313
442	1043	1312
443	1045	1309
444	1048	1307
445	1052	1307
446	1054	1304
447	1056	1301
448	1058	1298
449	1060	1295
450	1062	1292
451	1064	1290
